timestamp,symbol,type,price,size,bid,ask
1766175296136426065,AAPL,TRADE,271.3623,18,0.0,0.0
1766175296584808762,AAPL,TRADE,271.19,1,0.0,0.0
1766175296663823408,AAPL,TRADE,271.195,9,0.0,0.0
1766175296865392405,AAPL,QUOTE,0.0,0,271.19,271.2
1766175296908472929,AAPL,TRADE,271.1912,1,0.0,0.0
1766175296908490841,AAPL,TRADE,271.1912,1,0.0,0.0
1766175297042922434,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297090429336,AAPL,TRADE,271.195,7,0.0,0.0
1766175297278148176,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297539201052,AAPL,TRADE,271.2,100,0.0,0.0
1766175297539202304,AAPL,TRADE,271.2,100,0.0,0.0
1766175297539204946,AAPL,TRADE,271.2,10,0.0,0.0
1766175297539229194,AAPL,TRADE,271.2,1,0.0,0.0
1766175297539230323,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297539235654,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297539420588,AAPL,TRADE,271.2,28,0.0,0.0
1766175297539489021,AAPL,TRADE,271.2,1,0.0,0.0
1766175297539581493,AAPL,TRADE,271.2,183,0.0,0.0
1766175297539679467,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297539699380,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297539746809,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297539782156,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297539802769,AAPL,TRADE,271.2,140,0.0,0.0
1766175297539803980,AAPL,TRADE,271.2,2,0.0,0.0
1766175297539817046,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297539830292,AAPL,TRADE,271.2,100,0.0,0.0
1766175297539830685,AAPL,QUOTE,0.0,0,271.19,271.2
1766175297540129327,AAPL,QUOTE,0.0,0,271.2,271.2
1766175297540184240,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297540215056,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297540325436,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297542859972,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297543180511,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297543229594,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297544071000,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297558077873,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297558105513,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297558140111,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297558366459,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297558481660,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297558862621,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297559330069,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297565838790,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297604423277,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297613518494,AAPL,QUOTE,0.0,0,271.2,271.21
1766175297650986737,AAPL,QUOTE,0.0,0,271.2,271.21
