timestamp,symbol,type,price,size,bid,ask
1766188805903016629,AAPL,QUOTE,0.0,0,272.96,273.0
1766188805903274835,AAPL,TRADE,272.99,12,0.0,0.0
1766188805903335012,AAPL,TRADE,272.99,50,0.0,0.0
1766188805906988798,AAPL,TRADE,272.99,37,0.0,0.0
1766188805907378284,AAPL,TRADE,272.99,1,0.0,0.0
1766188813029428007,AAPL,TRADE,272.99,15,0.0,0.0
1766188836020813999,AAPL,QUOTE,0.0,0,272.96,273.0
1766188863170279151,AAPL,TRADE,272.99,33,0.0,0.0
1766188863170609813,AAPL,TRADE,272.99,1,0.0,0.0
1766188863171171964,AAPL,TRADE,272.99,36,0.0,0.0
1766188879085409026,AAPL,TRADE,272.99,1,0.0,0.0
1766188883072851463,AAPL,TRADE,272.961,1,0.0,0.0
1766188883284999338,AAPL,TRADE,272.99,12,0.0,0.0
1766188888931255350,AAPL,TRADE,272.99,1,0.0,0.0
1766188909093396841,AAPL,TRADE,272.99,9,0.0,0.0
1766188909093685311,AAPL,TRADE,272.99,41,0.0,0.0
1766188910562685928,AAPL,TRADE,272.99,20,0.0,0.0
1766188955543339112,AAPL,QUOTE,0.0,0,272.97,273.0
1766188957205553891,AAPL,TRADE,273.0,2,0.0,0.0
1766188961342175872,AAPL,TRADE,273.0,20,0.0,0.0
1766188961404607861,AAPL,TRADE,272.99,4,0.0,0.0
1766188964435054533,AAPL,TRADE,272.99,26,0.0,0.0
1766188964438315088,AAPL,TRADE,273.0,1,0.0,0.0
1766188964438318049,AAPL,TRADE,273.0,2,0.0,0.0
1766188964438318105,AAPL,TRADE,273.0,10,0.0,0.0
1766188964438318280,AAPL,TRADE,273.0,10,0.0,0.0
1766188964438321959,AAPL,TRADE,273.0,1,0.0,0.0
1766188965825118339,AAPL,TRADE,272.9995,30,0.0,0.0
1766188970485600828,AAPL,TRADE,272.9707,1,0.0,0.0
1766188973659665105,AAPL,TRADE,272.99,2,0.0,0.0
1766188976392954663,AAPL,TRADE,273.0,11,0.0,0.0
1766188993801076991,AAPL,TRADE,272.97,1,0.0,0.0
1766189002377551386,AAPL,TRADE,272.99,28,0.0,0.0
1766189002381753461,AAPL,TRADE,273.0,9,0.0,0.0
1766189002382798834,AAPL,TRADE,272.9999,9,0.0,0.0
1766189073121200337,AAPL,TRADE,273.0,1,0.0,0.0
1766189084396165979,AAPL,TRADE,272.97,36,0.0,0.0
